"METIER_COD"	"METIER_LIB"
"FDVVLO"	"Apnée à langoustes"
"PS_LPF"	"Sennes coulissantes à grands pélagiques"
"DRBCON"	"Dragues à lambis"
"FCNMZZ"	"Eperviers à poissons"
"FPOMUI"	"Casiers à murènes"
"FPOSNX"	"Nasses à vivaneaux"
"GNCHAX"	"Filets maillants encerclants à demi-becs"
"GNCBIS"	"Filets maillants encerclants à sélar coulisou"
"GNCBEN"	"Filets maillants encerclants à aiguilles, orphies"
"GNCCLU"	"Filets maillants encerclants à sardinelles, harengules"
"GNDHAX"	"Filets maillants dérivants à demi-becs"
"GNDFLY"	"Filets maillants dérivants à poissons volants"
"GNSCGX"	"Filets maillants à carangidés"
"GNSCON"	"Filets maillants à lambis"
"GNSBLF"	"Filets maillants à thon à nageoires noires"
"GNSSNX"	"Filets maillants à vivaneaux"
"MSPFLY"	"Epuisettes, Salabardes à poissons volants ou exocets (divers)"
"LHPDOX"	"Lignes et cannes manuelles à dorades coryphènes"
"LHPBIL"	"Lignes et cannes manuelles à marlins, makaires, voiliers"
"LHPBEN"	"Lignes et cannes manuelles à aiguilles, orphies"
"LHPDEF"	"Lignes et cannes manuelles à poissons démersaux"
"LHPSNY"	"Lignes et cannes manuelles à vivaneau à queue jaune"
"LHPSNX"	"Lignes et cannes manuelles à vivaneaux"
"LLSDEF"	"Palangres à poissons démersaux"
"LLSSNY"	"Palangres à vivaneau à queue jaune"
"LTF_LP"	"Lignes de traîne de fond à grands pélagiques"
"LTLKGX"	"Lignes de traîne à thazards"
"LTP_LP"	"Lignes de traîne profonde à grands pélagiques"
"LTS_LP"	"Lignes de traîne de surface à grands pélagiques"
"GNDLPF"	"Filets maillants dérivants à grands pélagiques"
"MHIRSQ"	"Pêche à pied à crabe cirique"
"MHIEWX"	"Pêche à pied à soudons"
"PS_BZX"	"Sennes coulissantes à bonites"
"PS_SNY"	"Sennes coulissantes à vivaneau à queue jaune"
"SB_HAX"	"Sennes de plage à demi-becs"
"SB_BZX"	"Sennes de plage à bonites"
"SB_BIS"	"Sennes de plage à sélar coulisou"
"SB_BEN"	"Sennes de plage à aiguilles, orphies"
"SB_SNY"	"Sennes de plage à vivaneau à queue jaune"
"FPOUSB"	"Nasses à vieille"
"LLSCOD"	"Palangres à morue"
"FDVKUI"	"Apnée à troque"
"AUTPAS"	"Transport de passagers"
"FDVOST"	"Apnée à huîtres"
"LHPBZX"	"Lignes et cannes manuelles à bonites"
"LHPSBX"	"Lignes et cannes manuelles à sparidés"
"LHPSBR"	"Lignes et cannes manuelles à dorade rose"
"LHP_GA"	"Lignes à main et lignes avec cannes à Gadidés (divers)"
"LHPXOX"	"Lignes et cannes manuelles à lançons"
"LHPPOL"	"Lignes et cannes manuelles à lieu jaune"
"LHPMUL"	"Lignes et cannes manuelles à mulets"
"LHPFLX"	"Lignes et cannes manuelles à poissons plats"
"LHPCTL"	"Lignes et cannes manuelles à seiches"
"LHPTUN"	"Lignes et cannes manuelles à thons"
"LHPBFT"	"Lignes et cannes manuelles à thon rouge"
"LHMPOL"	"Lignes à main et à cannes mécanisées à lieu jaune"
"LTLPOL"	"Lignes de traîne à lieu jaune"
"GNDSBX"	"Filets maillants dérivants à sparidés"
"FPORSQ"	"Casiers à crabe cirique"
"OTTCET"	"Chaluts jumeaux à panneaux à céteau"
"TBBQSC"	"Chaluts à perche à pétoncle blanc (vanneau)"
"SDNSQU"	"Sennes danoises à calmars, encornets"
"SDNCOD"	"Sennes danoises à morue"
"SDNMUX"	"Sennes danoises à rougets"
"GTRCON"	"Trémails à lambis"
"AUTHER"	"Hersage de crépidules, draguage d'étoiles de mer (divers)"
"LHMDEF"	"Lignes à main et à cannes mécanisées à poissons démersaux"
"SDNMZZ"	"Sennes danoises à poissons"
"OTBJOD"	"Chaluts de fond à Saint-Pierre"
"OTTCOD"	"Chaluts jumeaux à morue"
"PS_SBG"	"Sennes coulissantes à dorade royale"
"GTRCOD"	"Trémails à morue"
"OTBSHZ"	"Chaluts de fond à aloses"
"OTMSHZ"	"Chaluts pélagiques à aloses"
"GNDSHZ"	"Filets maillants dérivants à aloses"
"GNSSHZ"	"Filets maillants à aloses"
"GNSANG"	"Filets maillants à baudroie d'Amérique"
"OTBHKS"	"Chaluts de fond à panneaux à merlu argenté"
"PTBHKE"	"Chaluts boeufs de fond à merlus"
"OTBHKE"	"Chaluts de fond à merlu"
"OTTHKE"	"Chaluts jumeaux à merlu"
"PTMHKE"	"Chaluts boeufs pélagiques à merlu"
"OTMHKE"	"Chaluts pélagiques à merlu"
"GNDHKE"	"Filets maillants dérivants à merlu"
"GNSHKE"	"Filets maillants à merlu"
"LLSHKE"	"Palangres à merlu"
"LLDHKE"	"Palangres dérivantes à merlu"
"GTRHKE"	"Trémails à merlu"
"OTBSLZ"	"Chaluts de fond à salmonidés"
"OTMSLZ"	"Chaluts pélagiques à salmonidés"
"GNDSLZ"	"Filets maillants dérivants à salmonidés"
"GNSSLZ"	"Filets maillants à salmonidés"
"PTMALB"	"Chaluts boeufs pélagiques à thon germon"
"OTMALB"	"Chaluts pélagiques à thon germon"
"GNDALB"	"Filets maillants dérivants à thon germon"
"GNSALB"	"Filets maillants  à thon germon"
"LH_ALB"	"Lignes à main à thon germon"
"LHPALB"	"Lignes et cannes manuelles à thon germon"
"LLDALB"	"Palangres dérivantes à thon germon"
"LVDALB"	"Palangres verticales dérivantes à thon germon"
"PS_ALB"	"Sennes coulissantes à thon germon"
"TBBSCE"	"Chaluts à perche à coquille St-Jacques"
"DRBSCE"	"Dragues à coquille St-Jacques"
"SDVSCE"	"Plongée à coquille St-Jacques de l'Atlantique"
"TBBSJA"	"Chaluts à perche à coquille St-Jacques de Méditerranée"
"DRBSJA"	"Dragues à coquille St-Jacques de Méditerranée"
"DRBISC"	"Dragues à pétoncle d'Islande"
"TBBSCA"	"Chaluts à perche à pétoncle géant d'Amérique"
"DRBSCA"	"Dragues à pétoncle géant d'Amérique"
"TBBVSC"	"Chaluts à perche à pétoncle noir"
"OTBVSC"	"Chaluts de fond à pétoncle noir"
"OTTVSC"	"Chaluts jumeaux à panneaux à pétoncle noir"
"DRBOYG"	"Dragues remorquées par un bateau à Huître creuse"
"DRBOYF"	"Dragues à huître plate"
"DHBMUS"	"Dragues à main embarquées à Moule commune"
"DRBMUS"	"Dragues remorquées par un bateau à Moule commune"
"MHIMUS"	"Pêche à pied à Moule commune"
"DHBMSM"	"Dragues à main embarquées à Moule méditerranéenne"
"DRBMSM"	"Dragues remorquées par un bateau à Moule méditerranéenne"
"DRBVNR"	"Dragues à palourde rose"
"FDVTPS"	"Apnée à palourdes"
"DHBTPS"	"Dragues à main embarquées à palourdes"
"DRBTPS"	"Dragues à palourdes"
"MHITPS"	"Pêche à pied à palourdes"
"SDVTPS"	"Plongée à palourdes"
"DRBKFA"	"Dragues à praire chambrière"
"OTBBLI"	"Chaluts de fond à lingue bleue"
"OTMMGR"	"Chaluts pélagiques à maigre"
"PTMMGR"	"Chaluts boeufs pélagiques à maigre"
"LHJMZZ"	"Jigs à poissons"
"SV_BEN"	"Sennes halées à bord à aiguilles, orphies"
"AQUBSE"	"Aquaculture à bars"
"AQUTPS"	"Vénériculture"
"DHBMYV"	"Dragues à main embarquées à moules"
"DRBJLX"	"Dragues à murex"
"DRBMYV"	"Dragues à moules"
"DRBURX"	"Dragues à oursins"
"FDVJLX"	"Apnée à murex"
"FDVMYV"	"Apnée à moules"
"FDVURX"	"Apnée à oursins"
"MHIMYV"	"Pêche à pied à moules"
"MHIURX"	"Pêche à pied à oursins"
"FPOCZW"	"Casiers à crabes verts"
"GNCBSE"	"Filets maillants encerclants à bars"
"GNCSMX"	"Filets maillants encerclants à éperlans"
"GNDBSE"	"Filets maillants dérivants à bars"
"GNDGAD"	"Filets maillants dérivants à gadiformes"
"GNDSHX"	"Filets maillants dérivants à squaliformes"
"GNEBSE"	"Filets maillants flottants à bars"
"GNSBSE"	"Filets maillants à bars"
"GNSGAD"	"Filets maillants à gadiformes"
"GNSSHX"	"Filets maillants à squaliformes"
"GNSSMX"	"Filets maillants à éperlans"
"GNSSRG"	"Filets maillants à sars"
"GTNBSE"	"Trémails et filets maillants à bars"
"GTRBSE"	"Trémails à bars"
"GTRGAD"	"Trémails à gadiformes"
"GTRJLX"	"Trémails à murex"
"GTRSHX"	"Trémails à squaliformes"
"LH_BSE"	"Lignes à main à bars"
"LH_GAD"	"Lignes à main à gadiformes"
"LHMBSE"	"Lignes à main et à cannes mécanisées à bars"
"LHPBSE"	"Lignes et cannes manuelles à bars"
"LHPGAD"	"Lignes et cannes manuelles à gadiformes"
"LL_BSE"	"Palangres diverses à bars"
"LLDBSE"	"Palangres dérivantes à bars"
"LLDGAD"	"Palangres dérivantes à gadiformes"
"LLDSHX"	"Palangres dérivantes à squaliformes"
"LLFBSE"	"Palangres flottantes à bars"
"LLSBSE"	"Palangres de fond à bars"
"LLSGAD"	"Palangres à gadiformes"
"LLSSHX"	"Palangres à squaliformes"
"LNBSMX"	"Filets soulevés d'un bateau à éperlans"
"LSPBSE"	"Lignes calées à bars"
"LTLBSE"	"Lignes de traîne à bars"
"LVDBSE"	"Palangres verticales dérivantes à bars"
"LVSBSE"	"Palangres verticales à bars"
"OFGCLX"	"Engins dormants à bivalves (divers)"
"OFGSLZ"	"Engins dormants à salmonidés (saumons, truites)"
"OTBBSE"	"Chaluts de fond à bars"
"OTBGAD"	"Chaluts de fond à gadiformes"
"OTBSHX"	"Chaluts de fond à squaliformes"
"OTBSMX"	"Chaluts de fond à éperlans"
"OTGSLZ"	"Engins traînants à salmonidés (saumons, truites)"
"OTMBSE"	"Chaluts pélagiques à bars"
"OTMGAD"	"Chaluts pélagiques à gadiformes"
"OTTGAD"	"Chaluts jumeaux à gadiformes"
"PREBSE"	"Charter de pêche de loisir à bars"
"PS_BSE"	"Sennes coulissantes à bars"
"PTBBSE"	"Chaluts boeufs de fond à bars"
"PTBGAD"	"Chaluts boeufs de fond à gadiformes"
"PTMBSE"	"Chaluts boeufs pélagiques à bars"
"SB_JLX"	"Sennes de plage à murex"
"SB_MUM"	"Sennes de plage à rougets"
"SDVCOL"	"Plongée à corail rouge"
"SDVMYV"	"Plongée à moules"
"SDVSJA"	"Plongée à coquille St-Jacques de Méditerranée"
"SDVURX"	"Plongée à oursins"
"TBBGAD"	"Chaluts à perche à gadiformes"
"SDNCTL"	"Sennes danoises à seiches"
"OTBOCT"	"Chaluts de fond à poulpes"
"FPONSQ"	"Casiers à nasse ceinturée"
"AUTFRE"	"Transport de fret"
"GNEBZX"	"Filets maillants flottants à bonites"
"GNCSPF"	"Filets maillants encerclants à petits pélagiques"
"LLSHAL"	"Palangres à flétan"
"OTBRJR"	"Chaluts de fond à raie radiée"
"FWRELE"	"Barrages, Parcs, Bordigues à anguille"
"FWRBSE"	"Barrages, Parcs, Bordigues à bars"
"GNSAMB"	"Filets maillants à sériole couronnée"
"PS_SSB"	"Sennes coulissantes à marbré"
"GTRRSE"	"Trémails à rascasse rouge"
"GTRYFX"	"Trémails à soupe (crénilabres)"
"GTRJOD"	"Trémails à Saint-Pierre"
"GNSDEC"	"Filets maillants à denté"
"GNSSBR"	"Filets maillants à dorade rose"
"FYKSBG"	"Verveux à dorade royale"
"OTMSBG"	"Chaluts pélagiques à dorade royale"
"SB_SIL"	"Sennes de plage à athérines"
"LLSBAI"	"Palangres à poissons batoïdes"
"TMOMZZ"	"Grands ganguis à panneaux à poissons"
"LVDMZZ"	"Palangres verticales dérivantes à poissons"
"MHIKUI"	"Pêche à pied à troque"
"FPOJSP"	"Casiers à langouste de St Paul"
"LLDSKH"	"Palangres dérivantes à requins"
"LTLSKH"	"Lignes de traîne à requins"
"LHPSKH"	"Lignes et cannes manuelles à requins"
"SDVCUX"	"Plongée à holoturies"
"PTBPOK"	"Chaluts boeufs de fond à lieu noir"
"LTLALB"	"Lignes de traîne à thon germon"
"LTLGAD"	"Lignes de traîne à à gadiformes"
"TMSURX"	"Petits ganguis à cadre à oursins"
"TMSMZZ"	"Petits ganguis à perche à poissons"
"GTRNEP"	"Trémails à langoustine"
"FYKSIL"	"Verveux à athérines"
"FDVOCT"	"Apnée à poulpes"
"SDVWOR"	"Plongée à vers marins"
"LLFSWO"	"Palangres flottantes à espadons"
"LVDSKH"	"Palangres verticales dérivantes à requins"
"PTB_DW"	"Chaluts boeufs de fond à poissons de grands fonds"
"LLSSKH"	"Palangres à requins"
"GTRSKH"	"Trémails à requins"
"SSCSQU"	"Sennes écossaises à calmars, encornets"
"SSCMZZ"	"Sennes écossaises à poissons"
"SSCBSE"	"Sennes écossaises à bars"
"SSCMUM"	"Sennes écossaises à rougets"
"GNSSPF"	"Filets maillants à petits pélagiques"
"PTTPOK"	"Chaluts jumeaux b½ufs de fond à lieu noir"
"OTPMZZ"	"Chaluts de fond multiples à poissons"
"OTPNEP"	"Chaluts de fond multiples à langoustine"
"OTBRED"	"Chaluts de fond à sébastes"
"OTBGHL"	"Chaluts de fond à flétan noir"
"LHPBRB"	"Lignes et cannes manuelles à dorade grise"
"OTTOCT"	"Chaluts jumeaux à panneaux à poulpes, pieuvres, élédones (divers)"
"GTRAPA"	"Trémail à appâts"
"OTPMNZ"	"Chaluts de fond multiples à baudroies"
