"METIER_DCF_5_COD"	"METIER_DCF_5_LIB"
"OTT_MOL"	"Chaluts de fond jumeaux à panneaux - Mollusques"
"FPO_MOL"	"Nasses et pièges - Mollusques"
"GND_LPF"	"Filets maillants dérivants - Grands pélagiques"
"FCN_DEF"	"Filets-pièges fixes non couverts - Poissons démersaux"
"LHP_CEP"	"Lignes à main et lignes à cannes - Céphalopodes"
"OTB_CAT"	"Chaluts de fond à panneaux - Poissons catadromes"
"LN_CAT"	"Filets soulevés - Poissons catadromes"
"OTB_DWS"	"Chaluts de fond à panneaux - Espèces profondes"
"PTM_CEP"	"Chaluts-b½ufs pélagiques - Céphalopodes"
"FYK_CRU"	"Verveux - Crustacés"
"TBB_CEP"	"Chaluts à perche - Céphalopodes"
"PTB_DWS"	"Chaluts-b½ufs de fond - Espèces profondes"
"LLS_DEF"	"Palangres calées - Poissons démersaux"
"LN_DEF"	"Filets soulevés - Poissons démersaux"
"OTM_SPF"	"Chaluts pélagiques à panneaux - Petits pélagiques"
"OTHER"	"Autre activité que la pêche"
"DIV_MOL"	"Plongée - Mollusques"
"PS_SPF"	"Sennes coulissantes - Petits pélagiques"
"LN_SPF"	"Filets soulevés - Petits pélagiques"
"GNS_CAT"	"Filets maillants calés - Poissons catadromes"
"LLS_CAT"	"Palangres calées - Poissons catadromes"
"LTL_DEF"	"Lignes de traîne - Poissons démersaux"
"TBS_CRU"	"Chaluts à crevettes - Crustacés"
"GND_SPF"	"Filets maillants dérivants - Petits pélagiques"
"GTR_MOL"	"Trémails - Mollusques"
"LHM_FIF"	"Lignes à main et lignes à cannes mécanisées - Poissons à nageoires"
"TBB_DEF"	"Chaluts à perche - Poissons démersaux"
"FOO_SWD"	"Pêche à pied - Algues"
"GNC_SPF"	"Filets maillants encerclants - Petits pélagiques"
"LNP_SPF"	"Filet soulevés portatifs - Petits pélagiques"
