"METIER_DCF_6_COD"	"METIER_DCF_6_LIB"
"GNS_CAT_50_70_0"	"Filets maillants calés - Poissons catadromes - Maillage [50_70] mm - Pas de dispositifs sélectifs"
"GNS_CRU_40_49_0"	"Filets maillants calés - Crustacés - Maillage [40_49] mm - Pas de dispositifs sélectifs"
"GNS_LPF_10_30_0"	"Filets maillants calés - Grands pélagiques - Maillage [10_30] mm - Pas de dispositifs sélectifs"
"GNS_MOL_>=16_0"	"Filets maillants calés - Mollusques - Maillage >=16 mm - Pas de dispositifs sélectifs"
"GNS_MOL_100_119_0"	"Filets maillants calés - Mollusques - Maillage [100_119] mm - Pas de dispositifs sélectifs"
"GNS_SPF_50_59_0"	"Filets maillants calés - Petits pélagiques - Maillage [50_59] mm - Pas de dispositifs sélectifs"
"GNS_SPF_0_0_0"	"Filets maillants calés - Petits pélagiques - Maillage N/A - Pas de dispositifs sélectifs"
"GTN_DEF_>=220_0"	"Trémails et filets maillants combinés - Poissons démersaux - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GTN_LPF_>=220_0"	"Trémails et filets maillants combinés - Grands pélagiques - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GTN_LPF_80_99_0"	"Trémails et filets maillants combinés - Grands pélagiques - Maillage [80_99] mm - Pas de dispositifs sélectifs"
"GTN_LPF_40_49_0"	"Trémails et filets maillants combinés - Grands pélagiques - Maillage [40_49] mm - Pas de dispositifs sélectifs"
"GTN_LPF_10_30_0"	"Trémails et filets maillants combinés - Grands pélagiques - Maillage [10_30] mm - Pas de dispositifs sélectifs"
"GTR_CEP_90_99_0"	"Trémails - Céphalopodes - Maillage [90_99] mm - Pas de dispositifs sélectifs"
"GTR_CRU_0_0_0"	"Trémails - Crustacés - Maillage N/A - Pas de dispositifs sélectifs"
"GTR_DEF_40_49_0"	"Trémails - Poissons démersaux - Maillage [40_49] mm - Pas de dispositifs sélectifs"
"GTR_DEF_60_79_0"	"Trémails - Poissons démersaux - Maillage [60_79] mm - Pas de dispositifs sélectifs"
"GTR_DEF_80_99_0"	"Trémails - Poissons démersaux - Maillage [80_99] mm - Pas de dispositifs sélectifs"
"GTR_MOL_60_79_0"	"Trémails - Mollusques - Maillage [60_79] mm - Pas de dispositifs sélectifs"
"GTR_MOL_120_219_0"	"Trémails - Mollusques - Maillage [120_219] mm - Pas de dispositifs sélectifs"
"SDN_CEP_100_119_0"	"Sennes danoises - Céphalopodes - Maillage [100_119] mm - Pas de dispositifs sélectifs"
"SDN_CEP_20_39_0"	"Sennes danoises - Céphalopodes - Maillage [20_39] mm - Pas de dispositifs sélectifs"
"SDN_DEF_>=120_0"	"Sennes danoises - Poissons démersaux - Maillage >=120 mm - Pas de dispositifs sélectifs"
"PS_DEF_>=70_0"	"Sennes coulissantes - Poissons démersaux - Maillage >=70 mm - Pas de dispositifs sélectifs"
"PS_DEF_90_119_0"	"Sennes coulissantes - Poissons démersaux - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"PS_LPF_>=70_0"	"Sennes coulissantes - Grands pélagiques - Maillage >=70 mm - Pas de dispositifs sélectifs"
"PS_LPF_55_69_0"	"Sennes coulissantes - Grands pélagiques - Maillage [55_69] mm - Pas de dispositifs sélectifs"
"PS_SPF_>=14_0"	"Sennes coulissantes - Petits pélagiques - Maillage >=14 mm - Pas de dispositifs sélectifs"
"PS_SPF_16_31_0"	"Sennes coulissantes - Petits pélagiques - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"PS_SPF_40_64_0"	"Sennes coulissantes - Petits pélagiques - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"TBB_CRU_>=120_0"	"Chaluts à perche - Crustacés - Maillage >=120 mm - Pas de dispositifs sélectifs"
"TBB_DEF_70_99_0"	"Chaluts à perche - Poissons démersaux - Maillage [70_99] mm - Pas de dispositifs sélectifs"
"TBB_MOL_0_0_0"	"Chaluts à perche - Mollusques - Maillage N/A - Pas de dispositifs sélectifs"
"TBB_MOL_>=55_0"	"Chaluts à perche - Mollusques - Maillage >=55 mm - Pas de dispositifs sélectifs"
"TBB_MOL_32_69_0"	"Chaluts à perche - Mollusques - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTM_CAT_>=65_0"	"Chaluts pélagiques à panneaux - Poissons catadromes - Maillage >=65 mm - Pas de dispositifs sélectifs"
"OTM_CAT_40_54_0"	"Chaluts pélagiques à panneaux - Poissons catadromes - Maillage [40_54] mm - Pas de dispositifs sélectifs"
"OTM_CAT_32_69_0"	"Chaluts pélagiques à panneaux - Poissons catadromes - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTM_CAT_32_54_0"	"Chaluts pélagiques à panneaux - Poissons catadromes - Maillage [32_54] mm - Pas de dispositifs sélectifs"
"OTM_DEF_16_31_0"	"Chaluts pélagiques à panneaux - Poissons démersaux - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"OTM_DEF_100_119_0"	"Chaluts pélagiques à panneaux - Poissons démersaux - Maillage [100_119] mm - Pas de dispositifs sélectifs"
"OTM_DEF_32_54_0"	"Chaluts pélagiques à panneaux - Poissons démersaux - Maillage [32_54] mm - Pas de dispositifs sélectifs"
"OTM_SPF_40_54_0"	"Chaluts pélagiques à panneaux - Petits pélagiques - Maillage [40_54] mm - Pas de dispositifs sélectifs"
"OTM_SPF_100_119_0"	"Chaluts pélagiques à panneaux - Petits pélagiques - Maillage [100_119] mm - Pas de dispositifs sélectifs"
"PTM_CEP_70_89_0"	"Chaluts-b½ufs pélagiques - Céphalopodes - Maillage [70_89] mm - Pas de dispositifs sélectifs"
"PTM_DEF_90_119_0"	"Chaluts-b½ufs pélagiques - Poissons démersaux - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"PTM_DEF_16_31_0"	"Chaluts-b½ufs pélagiques - Poissons démersaux - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"PTM_DEF_70_89_0"	"Chaluts-b½ufs pélagiques - Poissons démersaux - Maillage [70_89] mm - Pas de dispositifs sélectifs"
"PTM_LPF_40_54_0"	"Chaluts-b½ufs pélagiques - Grands pélagiques - Maillage [40_54] mm - Pas de dispositifs sélectifs"
"PTM_SPF_>=65_0"	"Chaluts-b½ufs pélagiques - Petits pélagiques - Maillage >=65 mm - Pas de dispositifs sélectifs"
"OTB_CAT_100_119_0"	"Chaluts de fond à panneaux - Poissons catadromes - Maillage [100_119] mm - Pas de dispositifs sélectifs"
"OTB_CEP_32_69_0"	"Chaluts de fond à panneaux - Céphalopodes - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTB_CEP_32_54_0"	"Chaluts de fond à panneaux - Céphalopodes - Maillage [32_54] mm - Pas de dispositifs sélectifs"
"OTB_DWS_>=55_0"	"Chaluts de fond à panneaux - Espèces profondes - Maillage >=55 mm - Pas de dispositifs sélectifs"
"OTB_DWS_32_54_0"	"Chaluts de fond à panneaux - Espèces profondes - Maillage [32_54] mm - Pas de dispositifs sélectifs"
"OTB_DWS_0_0_0"	"Chaluts de fond à panneaux - Espèces profondes - Maillage N/A - Pas de dispositifs sélectifs"
"OTB_MOL_16_31_0"	"Chaluts de fond à panneaux - Mollusques - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"OTB_MOL_32_69_0"	"Chaluts de fond à panneaux - Mollusques - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTB_MOL_70_89_0"	"Chaluts de fond à panneaux - Mollusques - Maillage [70_89] mm - Pas de dispositifs sélectifs"
"OTB_SPF_90_119_0"	"Chaluts de fond à panneaux - Petits pélagiques - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"OTB_SPF_20_39_0"	"Chaluts de fond à panneaux - Petits pélagiques - Maillage [20_39] mm - Pas de dispositifs sélectifs"
"OTB_SPF_0_0_0"	"Chaluts de fond à panneaux - Petits pélagiques - Maillage N/A - Pas de dispositifs sélectifs"
"OTT_CEP_20_39_0"	"Chaluts de fond jumeaux à panneaux - Céphalopodes - Maillage [20_39] mm - Pas de dispositifs sélectifs"
"OTT_CEP_>=65_0"	"Chaluts de fond jumeaux à panneaux - Céphalopodes - Maillage >=65 mm - Pas de dispositifs sélectifs"
"OTT_DEF_16_31_0"	"Chaluts de fond jumeaux à panneaux - Poissons démersaux - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"OTT_DEF_90_119_0"	"Chaluts de fond jumeaux à panneaux - Poissons démersaux - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"OTT_DWS_0_16_0"	"Chaluts de fond jumeaux à panneaux - Espèces profondes - Maillage < 16 mm - Pas de dispositifs sélectifs"
"OTT_DWS_55_69_0"	"Chaluts de fond jumeaux à panneaux - Espèces profondes - Maillage [55_69] mm - Pas de dispositifs sélectifs"
"OTT_DWS_>=65_0"	"Chaluts de fond jumeaux à panneaux - Espèces profondes - Maillage >=65 mm - Pas de dispositifs sélectifs"
"OTT_DWS_32_69_0"	"Chaluts de fond jumeaux à panneaux - Espèces profondes - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTT_MOL_32_69_0"	"Chaluts de fond jumeaux à panneaux - Mollusques - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTT_MOL_40_64_0"	"Chaluts de fond jumeaux à panneaux - Mollusques - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"OTT_MOL_70_99_0"	"Chaluts de fond jumeaux à panneaux - Mollusques - Maillage [70_99] mm - Pas de dispositifs sélectifs"
"OTT_MOL_20_39_0"	"Chaluts de fond jumeaux à panneaux - Mollusques - Maillage [20_39] mm - Pas de dispositifs sélectifs"
"PTB_CRU_40_64_0"	"Chaluts-b½ufs de fond - Crustacés - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"PTB_CRU_55_69_0"	"Chaluts-b½ufs de fond - Crustacés - Maillage [55_69] mm - Pas de dispositifs sélectifs"
"PTB_CRU_16_31_0"	"Chaluts-b½ufs de fond - Crustacés - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"PTB_CRU_>=55_0"	"Chaluts-b½ufs de fond - Crustacés - Maillage >=55 mm - Pas de dispositifs sélectifs"
"PTB_DEF_32_69_0"	"Chaluts-b½ufs de fond - Poissons démersaux - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"TBS_CRU_55_69_0"	"Chaluts à crevettes - Crustacés - Maillage [55_69] mm - Pas de dispositifs sélectifs"
"GND_CAT_>=220_0"	"Filets maillants dérivants - Poissons catadromes - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GND_CAT_60_79_0"	"Filets maillants dérivants - Poissons catadromes - Maillage [60_79] mm - Pas de dispositifs sélectifs"
"GND_CAT_50_70_0"	"Filets maillants dérivants - Poissons catadromes - Maillage [50_70] mm - Pas de dispositifs sélectifs"
"GND_DEF_60_79_0"	"Filets maillants dérivants - Poissons démersaux - Maillage [60_79] mm - Pas de dispositifs sélectifs"
"GND_DEF_40_49_0"	"Filets maillants dérivants - Poissons démersaux - Maillage [40_49] mm - Pas de dispositifs sélectifs"
"GND_DEF_50_59_0"	"Filets maillants dérivants - Poissons démersaux - Maillage [50_59] mm - Pas de dispositifs sélectifs"
"GND_DEF_0_40_0"	"Filets maillants dérivants - Poissons démersaux - Maillage <40 - Pas de dispositifs sélectifs"
"GND_LPF_>=220_0"	"Filets maillants dérivants - Grands pélagiques - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GND_LPF_80_99_0"	"Filets maillants dérivants - Grands pélagiques - Maillage [80_99] mm - Pas de dispositifs sélectifs"
"GND_LPF_50_59_0"	"Filets maillants dérivants - Grands pélagiques - Maillage [50_59] mm - Pas de dispositifs sélectifs"
"GND_SPF_50_70_0"	"Filets maillants dérivants - Petits pélagiques - Maillage [50_70] mm - Pas de dispositifs sélectifs"
"GND_SPF_80_99_0"	"Filets maillants dérivants - Petits pélagiques - Maillage [80_99] mm - Pas de dispositifs sélectifs"
"GND_SPF_60_79_0"	"Filets maillants dérivants - Petits pélagiques - Maillage [60_79] mm - Pas de dispositifs sélectifs"
"GND_SPF_120_219_0"	"Filets maillants dérivants - Petits pélagiques - Maillage [120_219] mm - Pas de dispositifs sélectifs"
"GND_SPF_>=100_0"	"Filets maillants dérivants - Petits pélagiques - Maillage >=100 mm - Pas de dispositifs sélectifs"
"GNS_CAT_0_0_0"	"Filets maillants calés - Poissons catadromes - Maillage N/A - Pas de dispositifs sélectifs"
"GNS_CAT_50_59_0"	"Filets maillants calés - Poissons catadromes - Maillage [50_59] mm - Pas de dispositifs sélectifs"
"GNS_CRU_>=16_0"	"Filets maillants calés - Crustacés - Maillage >=16 mm - Pas de dispositifs sélectifs"
"GNS_CRU_>=220_0"	"Filets maillants calés - Crustacés - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GNS_DEF_90_99_0"	"Filets maillants calés - Poissons démersaux - Maillage [90_99] mm - Pas de dispositifs sélectifs"
"GNS_DEF_0_40_0"	"Filets maillants calés - Poissons démersaux - Maillage <40 - Pas de dispositifs sélectifs"
"GNS_LPF_50_70_0"	"Filets maillants calés - Grands pélagiques - Maillage [50_70] mm - Pas de dispositifs sélectifs"
"GNS_MOL_>=220_0"	"Filets maillants calés - Mollusques - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GNS_MOL_50_59_0"	"Filets maillants calés - Mollusques - Maillage [50_59] mm - Pas de dispositifs sélectifs"
"GNS_SPF_0_40_0"	"Filets maillants calés - Petits pélagiques - Maillage <40 - Pas de dispositifs sélectifs"
"GNS_SPF_>=100_0"	"Filets maillants calés - Petits pélagiques - Maillage >=100 mm - Pas de dispositifs sélectifs"
"GNS_SPF_90_99_0"	"Filets maillants calés - Petits pélagiques - Maillage [90_99] mm - Pas de dispositifs sélectifs"
"GTN_DEF_100_119_0"	"Trémails et filets maillants combinés - Poissons démersaux - Maillage [100_119] mm - Pas de dispositifs sélectifs"
"GTN_DEF_>=100_0"	"Trémails et filets maillants combinés - Poissons démersaux - Maillage >=100 mm - Pas de dispositifs sélectifs"
"GTR_CEP_10_30_0"	"Trémails - Céphalopodes - Maillage [10_30] mm - Pas de dispositifs sélectifs"
"GTR_CEP_50_70_0"	"Trémails - Céphalopodes - Maillage [50_70] mm - Pas de dispositifs sélectifs"
"GTR_CEP_>=220_0"	"Trémails - Céphalopodes - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GTR_CRU_50_59_0"	"Trémails - Crustacés - Maillage [50_59] mm - Pas de dispositifs sélectifs"
"GTR_CRU_>=16_0"	"Trémails - Crustacés - Maillage >=16 mm - Pas de dispositifs sélectifs"
"GTR_DEF_50_59_0"	"Trémails - Poissons démersaux - Maillage [50_59] mm - Pas de dispositifs sélectifs"
"GTR_DEF_>=220_0"	"Trémails - Poissons démersaux - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GTR_MOL_10_30_0"	"Trémails - Mollusques - Maillage [10_30] mm - Pas de dispositifs sélectifs"
"OTH_EEL_32_69_0"	"Autres engins- Civelle - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"SDN_CEP_>=55_0"	"Sennes danoises - Céphalopodes - Maillage >=55 mm - Pas de dispositifs sélectifs"
"SDN_CEP_16_31_0"	"Sennes danoises - Céphalopodes - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"SDN_DEF_32_54_0"	"Sennes danoises - Poissons démersaux - Maillage [32_54] mm - Pas de dispositifs sélectifs"
"LA_SPF_0_0_0"	"Filets tournants sans coulisse (lamparo) - Petits pélagiques - Maillage N/A - Pas de dispositifs sélectifs"
"PS_DEF_0_16_0"	"Sennes coulissantes - Poissons démersaux - Maillage < 16 mm - Pas de dispositifs sélectifs"
"PS_DEF_>=55_0"	"Sennes coulissantes - Poissons démersaux - Maillage >=55 mm - Pas de dispositifs sélectifs"
"PS_SPF_>=65_0"	"Sennes coulissantes - Petits pélagiques - Maillage >=65 mm - Pas de dispositifs sélectifs"
"PS_SPF_0_0_0"	"Sennes coulissantes - Petits pélagiques - Maillage N/A - Pas de dispositifs sélectifs"
"PS_SPF_70_99_0"	"Sennes coulissantes - Petits pélagiques - Maillage [70_99] mm - Pas de dispositifs sélectifs"
"PS_SPF_90_119_0"	"Sennes coulissantes - Petits pélagiques - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"TBB_CRU_16_31_0"	"Chaluts à perche - Crustacés - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"TBB_CRU_>=55_0"	"Chaluts à perche - Crustacés - Maillage >=55 mm - Pas de dispositifs sélectifs"
"TBB_CRU_40_64_0"	"Chaluts à perche - Crustacés - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"TBB_DEF_32_69_0"	"Chaluts à perche - Poissons démersaux - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"TBB_MOL_0_16_0"	"Chaluts à perche - Mollusques - Maillage < 16 mm - Pas de dispositifs sélectifs"
"OTM_CAT_13_19_0"	"Chaluts pélagiques à panneaux - Poissons catadromes - Maillage [13_19] mm - Pas de dispositifs sélectifs"
"OTM_CAT_0_16_0"	"Chaluts pélagiques à panneaux - Poissons catadromes - Maillage < 16 mm - Pas de dispositifs sélectifs"
"OTM_DEF_>=65_0"	"Chaluts pélagiques à panneaux - Poissons démersaux - Maillage >=65 mm - Pas de dispositifs sélectifs"
"OTM_DEF_0_0_0"	"Chaluts pélagiques à panneaux - Poissons démersaux - Maillage N/A - Pas de dispositifs sélectifs"
"OTM_DEF_90_119_0"	"Chaluts pélagiques à panneaux - Poissons démersaux - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"OTM_DEF_32_69_0"	"Chaluts pélagiques à panneaux - Poissons démersaux - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTM_DEF_55_69_0"	"Chaluts pélagiques à panneaux - Poissons démersaux - Maillage [55_69] mm - Pas de dispositifs sélectifs"
"OTM_DEF_40_64_0"	"Chaluts pélagiques à panneaux - Poissons démersaux - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"OTM_LPF_32_69_0"	"Chaluts pélagiques à panneaux - Grands pélagiques - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTM_LPF_70_89_0"	"Chaluts pélagiques à panneaux - Grands pélagiques - Maillage [70_89] mm - Pas de dispositifs sélectifs"
"OTM_LPF_40_64_0"	"Chaluts pélagiques à panneaux - Grands pélagiques - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"OTM_SPF_32_54_0"	"Chaluts pélagiques à panneaux - Petits pélagiques - Maillage [32_54] mm - Pas de dispositifs sélectifs"
"OTM_SPF_0_0_0"	"Chaluts pélagiques à panneaux - Petits pélagiques - Maillage N/A - Pas de dispositifs sélectifs"
"PTM_CEP_0_0_0"	"Chaluts-b½ufs pélagiques - Céphalopodes - Maillage N/A - Pas de dispositifs sélectifs"
"PTM_CEP_>=120_0"	"Chaluts-b½ufs pélagiques - Céphalopodes - Maillage >=120 mm - Pas de dispositifs sélectifs"
"PTM_CEP_90_119_0"	"Chaluts-b½ufs pélagiques - Céphalopodes - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"PTM_CEP_32_69_0"	"Chaluts-b½ufs pélagiques - Céphalopodes - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"PTM_CEP_55_69_0"	"Chaluts-b½ufs pélagiques - Céphalopodes - Maillage [55_69] mm - Pas de dispositifs sélectifs"
"PTM_DEF_>=120_0"	"Chaluts-b½ufs pélagiques - Poissons démersaux - Maillage >=120 mm - Pas de dispositifs sélectifs"
"PTM_DEF_>=20_0"	"Chaluts-b½ufs pélagiques - Poissons démersaux - Maillage >=20 mm - Pas de dispositifs sélectifs"
"PTM_DEF_100_119_0"	"Chaluts-b½ufs pélagiques - Poissons démersaux - Maillage [100_119] mm - Pas de dispositifs sélectifs"
"PTM_DEF_55_69_0"	"Chaluts-b½ufs pélagiques - Poissons démersaux - Maillage [55_69] mm - Pas de dispositifs sélectifs"
"PTM_LPF_20_39_0"	"Chaluts-b½ufs pélagiques - Grands pélagiques - Maillage [20_39] mm - Pas de dispositifs sélectifs"
"PTM_LPF_>=55_0"	"Chaluts-b½ufs pélagiques - Grands pélagiques - Maillage >=55 mm - Pas de dispositifs sélectifs"
"PTM_SPF_16_31_0"	"Chaluts-b½ufs pélagiques - Petits pélagiques - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"PTM_SPF_>=120_0"	"Chaluts-b½ufs pélagiques - Petits pélagiques - Maillage >=120 mm - Pas de dispositifs sélectifs"
"PTM_SPF_40_64_0"	"Chaluts-b½ufs pélagiques - Petits pélagiques - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"OTB_CAT_90_119_0"	"Chaluts de fond à panneaux - Poissons catadromes - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"OTB_CEP_16_31_0"	"Chaluts de fond à panneaux - Céphalopodes - Maillage [16_31] mm - Pas de dispositifs sélectifs"
"OTB_CEP_0_0_0"	"Chaluts de fond à panneaux - Céphalopodes - Maillage N/A - Pas de dispositifs sélectifs"
"OTB_CRU_>=40_0"	"Chaluts de fond à panneaux - Crustacés - Maillage >=40 mm - Pas de dispositifs sélectifs"
"OTB_CRU_>=55_0"	"Chaluts de fond à panneaux - Crustacés - Maillage >=55 mm - Pas de dispositifs sélectifs"
"OTB_DEF_>=55_0"	"Chaluts de fond à panneaux - Poissons démersaux - Maillage >=55 mm - Pas de dispositifs sélectifs"
"OTB_DEF_32_69_0"	"Chaluts de fond à panneaux - Poissons démersaux - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTB_DEF_0_0_0"	"Chaluts de fond à panneaux - Poissons démersaux - Maillage N/A - Pas de dispositifs sélectifs"
"OTB_DEF_20_39_0"	"Chaluts de fond à panneaux - Poissons démersaux - Maillage [20_39] mm - Pas de dispositifs sélectifs"
"OTB_DWS_0_16_0"	"Chaluts de fond à panneaux - Espèces profondes - Maillage < 16 mm - Pas de dispositifs sélectifs"
"OTB_DWS_40_64_0"	"Chaluts de fond à panneaux - Espèces profondes - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"OTB_DWS_32_69_0"	"Chaluts de fond à panneaux - Espèces profondes - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTB_MOL_90_119_0"	"Chaluts de fond à panneaux - Mollusques - Maillage [90_119] mm - Pas de dispositifs sélectifs"
"OTB_MOL_0_0_0"	"Chaluts de fond à panneaux - Mollusques - Maillage N/A - Pas de dispositifs sélectifs"
"OTB_SPF_>=70_0"	"Chaluts de fond à panneaux - Petits pélagiques - Maillage >=70 mm - Pas de dispositifs sélectifs"
"OTB_SPF_40_64_0"	"Chaluts de fond à panneaux - Petits pélagiques - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"OTB_SPF_100_119_0"	"Chaluts de fond à panneaux - Petits pélagiques - Maillage [100_119] mm - Pas de dispositifs sélectifs"
"OTB_SPF_>=120_0"	"Chaluts de fond à panneaux - Petits pélagiques - Maillage >=120 mm - Pas de dispositifs sélectifs"
"OTT_CEP_40_54_0"	"Chaluts de fond jumeaux à panneaux - Céphalopodes - Maillage [40_54] mm - Pas de dispositifs sélectifs"
"OTT_CEP_32_69_0"	"Chaluts de fond jumeaux à panneaux - Céphalopodes - Maillage [32_69] mm - Pas de dispositifs sélectifs"
"OTT_CRU_0_0_0"	"Chaluts de fond jumeaux à panneaux - Crustacés - Maillage N/A - Pas de dispositifs sélectifs"
"OTT_CRU_32_54_0"	"Chaluts de fond jumeaux à panneaux - Crustacés - Maillage [32_54] mm - Pas de dispositifs sélectifs"
"OTT_DEF_55_69_0"	"Chaluts de fond jumeaux à panneaux - Poissons démersaux - Maillage [55_69] mm - Pas de dispositifs sélectifs"
"OTT_DEF_40_64_0"	"Chaluts de fond jumeaux à panneaux - Poissons démersaux - Maillage [40_64] mm - Pas de dispositifs sélectifs"
"OTT_DEF_>=70_0"	"Chaluts de fond jumeaux à panneaux - Poissons démersaux - Maillage >=70 mm - Pas de dispositifs sélectifs"
"OTT_DWS_>=120_0"	"Chaluts de fond jumeaux à panneaux - Espèces profondes - Maillage >=120 mm - Pas de dispositifs sélectifs"
"OTT_DWS_0_0_0"	"Chaluts de fond jumeaux à panneaux - Espèces profondes - Maillage N/A - Pas de dispositifs sélectifs"
"PTB_CRU_>=70_0"	"Chaluts-b½ufs de fond - Crustacés - Maillage >=70 mm - Pas de dispositifs sélectifs"
"PTB_CRU_>=65_0"	"Chaluts-b½ufs de fond - Crustacés - Maillage >=65 mm - Pas de dispositifs sélectifs"
"PTB_DEF_0_16_0"	"Chaluts-b½ufs de fond - Poissons démersaux - Maillage < 16 mm - Pas de dispositifs sélectifs"
"TBS_CRU_0_0_0"	"Chaluts à crevettes - Crustacés - Maillage N/A - Pas de dispositifs sélectifs"
"TBS_CRU_32_54_0"	"Chaluts à crevettes - Crustacés - Maillage [32_54] mm - Pas de dispositifs sélectifs"
"GND_CAT_>=100_0"	"Filets maillants dérivants - Poissons catadromes - Maillage >=100 mm - Pas de dispositifs sélectifs"
"GND_DEF_0_0_0"	"Filets maillants dérivants - Poissons démersaux - Maillage N/A - Pas de dispositifs sélectifs"
"GND_DEF_10_30_0"	"Filets maillants dérivants - Poissons démersaux - Maillage [10_30] mm - Pas de dispositifs sélectifs"
"GND_DEF_>=16_0"	"Filets maillants dérivants - Poissons démersaux - Maillage >=16 mm - Pas de dispositifs sélectifs"
"GND_LPF_120_219_0"	"Filets maillants dérivants - Grands pélagiques - Maillage [120_219] mm - Pas de dispositifs sélectifs"
"GNS_CAT_0_40_0"	"Filets maillants calés - Poissons catadromes - Maillage <40 - Pas de dispositifs sélectifs"
"GNS_CAT_>=16_0"	"Filets maillants calés - Poissons catadromes - Maillage >=16 mm - Pas de dispositifs sélectifs"
"GNS_CAT_80_99_0"	"Filets maillants calés - Poissons catadromes - Maillage [80_99] mm - Pas de dispositifs sélectifs"
"GNS_CRU_10_30_0"	"Filets maillants calés - Crustacés - Maillage [10_30] mm - Pas de dispositifs sélectifs"
"GNS_DEF_40_49_0"	"Filets maillants calés - Poissons démersaux - Maillage [40_49] mm - Pas de dispositifs sélectifs"
"GNS_DEF_>=220_0"	"Filets maillants calés - Poissons démersaux - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GNS_LPF_80_99_0"	"Filets maillants calés - Grands pélagiques - Maillage [80_99] mm - Pas de dispositifs sélectifs"
"GNS_MOL_0_40_0"	"Filets maillants calés - Mollusques - Maillage <40 - Pas de dispositifs sélectifs"
"GNS_MOL_120_219_0"	"Filets maillants calés - Mollusques - Maillage [120_219] mm - Pas de dispositifs sélectifs"
"GTN_DEF_50_70_0"	"Trémails et filets maillants combinés - Poissons démersaux - Maillage [50_70] mm - Pas de dispositifs sélectifs"
"GTN_LPF_0_40_0"	"Trémails et filets maillants combinés - Grands pélagiques - Maillage <40 - Pas de dispositifs sélectifs"
"GTN_LPF_>=16_0"	"Trémails et filets maillants combinés - Grands pélagiques - Maillage >=16 mm - Pas de dispositifs sélectifs"
"GTN_LPF_60_79_0"	"Trémails et filets maillants combinés - Grands pélagiques - Maillage [60_79] mm - Pas de dispositifs sélectifs"
"GTR_DEF_90_99_0"	"Trémails - Poissons démersaux - Maillage [90_99] mm - Pas de dispositifs sélectifs"
"GTR_MOL_0_0_0"	"Trémails - Mollusques - Maillage N/A - Pas de dispositifs sélectifs"
"GTR_MOL_90_99_0"	"Trémails - Mollusques - Maillage [90_99] mm - Pas de dispositifs sélectifs"
"GTR_MOL_80_99_0"	"Trémails - Mollusques - Maillage [80_99] mm - Pas de dispositifs sélectifs"
"GTR_MOL_>=220_0"	"Trémails - Mollusques - Maillage >=220 mm - Pas de dispositifs sélectifs"
"GTR_MOL_50_70_0"	"Trémails - Mollusques - Maillage [50_70] mm - Pas de dispositifs sélectifs"
