"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"CDR"	"Coryphaenoides delsolari"
"CLY"	"Coryphaenoides longifilis"
"CKG"	"Coryphaenoides marginatus"
"CPX"	"Coryphaenoides mexicanus"
"MCM"	"Coryphaenoides murrayi"
"MHN"	"Coryphaenoides nasutus"
"MCR"	"Coryphaenoides serrulatus"
"MCS"	"Coryphaenoides subserrulatus"
"MRZ"	"Coryphaenoides zaniophorus"
"CZF"	"Coryphaenoides ferrieri"
"CZL"	"Coryphaenoides lecointei"
"CQA"	"Coelorinchus acanthiger"
"CQC"	"Coelorinchus aconcagua"
"CQN"	"Coelorinchus anatirostris"
"CQR"	"Coelorinchus argentatus"
"CQG"	"Coelorinchus argus"
"CQS"	"Coelorinchus aspercephalus"
"CQU"	"Coelorinchus australis"
"CQB"	"Coelorinchus biclinozonalis"
"CQE"	"Coelorinchus braueri"
"CQH"	"Grenadier can"
"CQI"	"Coelorinchus caribbaeus"
"CQO"	"Coelorinchus chilensis"
"CQL"	"Grenadier raton"
"CQD"	"Coelorinchus denticulatus"
"CQF"	"Coelorinchus fasciatus"
"CQM"	"Coelorinchus formosanus"
"CQX"	"Coelorinchus hexafasciatus"
"CQT"	"Coelorinchus innotabilis"
"CQJ"	"Coelorinchus japonicus"
"MCK"	"Coelorinchus kaiyomaru"
"CQK"	"Coelorinchus kamoharai"
"CQQ"	"Coelorinchus karrerae"
"MCE"	"Coelorinchus kermadecus"
"CQY"	"Coelorinchus kishinouyei"
"CQV"	"Coelorinchus labiatus"
"CQP"	"Coelorinchus longicephalus"
"CQW"	"Coelorinchus macrochir"
"CEH"	"Coelorinchus marinii"
"MCT"	"Coelorinchus matamua"
"CKU"	"Coelorinchus multispinulosus"
"CKO"	"Coelorinchus occa"
"CKV"	"Coelorinchus oliverianus"
"CKR"	"Coelorinchus parallelus"
"CKD"	"Coelorinchus productus"
"CKS"	"Grenadier spatule"
"CKX"	"Coelorinchus ventrilux"
"AIP"	"Albatrossia pectoralis"
"AFG"	"Asthenomacrurus fragilis"
"TYH"	"Trachyrincus helolepis"
"TSU"	"Trachyrincus scabrus"
"BGO"	"Bathygadus macrops"
"BGN"	"Bathygadus melanobranchus"
"SUQ"	"Squalogadus modificatus"
"CKC"	"Cetonurus crassiceps"
"CKP"	"Cetonurus globiceps"
"MNI"	"Grenadier denté"
"ODU"	"Odontomacrurus murrayi"
"TNS"	"Trachonurus sulcatus"
"SGG"	"Sphagemacrurus grenadae"
"NZB"	"Grenadier de Baird"
"NZA"	"Grenadier lisse"
"NZC"	"Nezumia condylura"
"NZO"	"Nezumia convergens"
"NZD"	"Nezumia duodecim"
"NZL"	"Nezumia latirostrata"
"NZI"	"Nezumia liolepis"
"NZR"	"Nezumia loricata"
"NZM"	"Nezumia micronychodon"
"NZT"	"Nezumia orbitalis"
"NZP"	"Nezumia proxima"
"NZS"	"Nezumia sclerorhynchus"
"NZE"	"Nezumia stelgidolepis"
"MLL"	"Grenadier barbu"
"MLO"	"Grenadier scie"
"GAC"	"Gadomus arcuatus"
"HLN"	"Haplomacrourus nudirostris"
"IDA"	"Idiolophorhynchus andriashevi"
"KUC"	"Kumba calvifrons"
"SCF"	"Turbots nca"
"CIT"	"Feuilles nca"
"HPX"	"Turbots épineux nca"
"BXF"	"Coffres nca"
"PUX"	"Compères nca"
"DIO"	"Porcs-épics"
"FFX"	"Poissons-bourses nca"
"TRI"	"Balistes nca"
"TFD"	"Crapauds, etc. nca"
"ANF"	"Baudroies, etc. nca"
"DNF"	"Cladocères"
"SDK"	"Pouce-pieds Scalpellidae nca"
"LKD"	"Anatifes Lepadidae nca"
"SQY"	"Squilles nca"
"PEZ"	"Crevettes pénéidés nca"
"BOS"	"Crevettes seabob du pacifique"
"ARI"	"Gambons,crevet. aristeidés nca"
"PDZ"	"Crevettes pandalides nca"
"PSH"	"Crevettes océan pacifique nca"
"SHS"	"Crevettes sergestid nca"
"PPZ"	"Crevettes d'eau douce nca"
"PAL"	"Crevettes palémonides nca"
"CRN"	"Crevettes crangonidés nca"
"SOZ"	"Salicoques, solénocères nca"
"VLO"	"Langoustes diverses nca"
"LOS"	"Cigales nca"
"NEX"	"Homards, langoustines nca"
"KCX"	"Crabes royaux, etc. nca"
"CAD"	"Tourteaux nca"
"SWM"	"Crabes, étrilles, etc. nca"
"GEY"	"Gérionidés nca"
"FSH"	"Coquilles des moules eau douce"
"OST"	"Huîtres plates et creuses nca"
"SCX"	"Peignes nca"
"MSX"	"Moules nca"
"CLV"	"Petites praires nca"
"MWQ"	"Mactres nca"
"SOI"	"Couteaux, etc. nca"
"COZ"	"Coques nca"
"CTL"	"Seiches, sépioles nca"
"SQZ"	"Calmars côtiers nca"
"OMZ"	"Encornets Ommastrephidae nca"
"SQU"	"Calmars, encornets nca"
"OCT"	"Pieuvres, poulpes nca"
"DLP"	"Dauphins nca"
"CRO"	"Crocodiles et alligators nca"
"ALZ"	"Albatros nca"
"PVF"	"Manchots nca"
"SPO"	"Éponges"
"AXT"	"Hydrocoralliaires"
"SPX"	"Salpes"
"LAZ"	"Varechs nca"
"FUA"	"Algues fucus nca"
"THR"	"Renards de mer nca"
